                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2673,                  1.008,                 1.3072,                0.95767,                0.91604,                 0.9583,                0.59848,                 1.3287,                0.65797,                 1.3148,             0.00023782,             0.00023782,             0.00023782
                      2,                 1.2212,                0.69983,                 1.2638,                0.96156,                0.91604,                0.96289,                0.60784,                 1.2806,                0.60287,                 1.2625,             0.00045698,             0.00045698,             0.00045698
                      3,                 1.2236,                0.68933,                 1.2656,                 0.9561,                0.91928,                  0.957,                0.63741,                 1.2197,                0.58655,                 1.2366,             0.00065729,             0.00065729,             0.00065729
                      4,                 1.1932,                0.65343,                 1.2407,                 0.9672,                0.92664,                0.96112,                0.63751,                 1.2208,                 0.5678,                 1.2241,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.1794,                0.63274,                  1.231,                0.96608,                0.93433,                 0.9676,                0.63022,                 1.2825,                0.53719,                 1.2676,             0.00062918,             0.00062918,             0.00062918
                      6,                 1.1556,                0.59594,                 1.2135,                0.97082,                0.93638,                 0.9733,                0.65178,                 1.2097,                0.50957,                  1.224,              0.0006009,              0.0006009,              0.0006009
                      7,                  1.134,                0.57914,                 1.1997,                0.96362,                0.94465,                0.97141,                0.65537,                 1.2065,                0.51426,                 1.2187,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.1171,                0.55808,                 1.1869,                0.96413,                0.93294,                0.97121,                0.66088,                 1.1845,                0.50327,                 1.2023,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.1046,                0.55227,                 1.1852,                0.97113,                0.94325,                0.97831,                 0.6741,                 1.1663,                0.47583,                  1.188,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.0911,                0.53142,                 1.1776,                0.96409,                 0.9571,                0.98022,                0.68108,                 1.1607,                0.45358,                 1.1842,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.0867,                0.52581,                 1.1672,                0.98119,                  0.954,                 0.9815,                0.67966,                 1.1541,                0.45525,                 1.1759,             0.00045953,             0.00045953,             0.00045953
                     12,                 1.0678,                0.51179,                 1.1575,                0.96445,                0.95427,                0.97725,                0.67959,                 1.1454,                0.44887,                 1.1764,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.0604,                0.51116,                 1.1485,                0.97534,                 0.9606,                0.98234,                0.69468,                 1.1349,                0.43181,                 1.1674,             0.00040298,             0.00040298,             0.00040298
                     14,                 1.0427,                0.48975,                 1.1447,                0.97703,                0.95763,                0.98329,                0.69446,                 1.1369,                0.42065,                 1.1677,             0.00037471,             0.00037471,             0.00037471
                     15,                  1.033,                0.47698,                 1.1383,                0.97958,                0.95919,                0.98547,                0.70263,                 1.1256,                0.41657,                 1.1568,             0.00034643,             0.00034643,             0.00034643
                     16,                 1.0259,                0.41069,                  1.166,                0.97672,                0.95591,                0.98326,                0.69853,                 1.1236,                0.41948,                 1.1551,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.0102,                0.39951,                 1.1538,                0.97001,                0.96388,                 0.9839,                0.69567,                 1.1253,                0.41248,                  1.154,             0.00028988,             0.00028988,             0.00028988
                     18,                 0.9868,                 0.3848,                 1.1496,                0.97999,                0.95919,                0.98211,                0.70175,                  1.119,                0.41119,                  1.157,             0.00026161,             0.00026161,             0.00026161
                     19,                0.97891,                0.37952,                 1.1407,                0.97483,                0.96294,                 0.9839,                0.69726,                 1.1274,                0.41175,                 1.1561,             0.00023334,             0.00023334,             0.00023334
                     20,                0.96643,                0.36903,                 1.1326,                0.98183,                0.96334,                0.98379,                0.70365,                 1.1119,                0.40144,                 1.1519,             0.00020506,             0.00020506,             0.00020506
                     21,                0.95291,                0.36117,                 1.1215,                0.97894,                 0.9592,                0.98281,                0.70039,                 1.1189,                 0.4027,                 1.1507,             0.00017679,             0.00017679,             0.00017679
                     22,                0.93594,                0.35012,                  1.115,                0.97589,                0.96842,                0.98393,                0.70309,                  1.117,                0.39197,                 1.1503,             0.00014851,             0.00014851,             0.00014851
                     23,                0.92907,                0.34419,                 1.1092,                0.97274,                0.96951,                0.98384,                0.70547,                 1.1213,                 0.3935,                 1.1529,             0.00012024,             0.00012024,             0.00012024
                     24,                0.91172,                0.33756,                 1.1011,                0.97501,                0.96717,                0.98455,                0.70307,                 1.1221,                0.39242,                 1.1552,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.89319,                0.32692,                 1.0876,                0.97945,                0.96295,                0.98314,                0.70598,                 1.1157,                0.38983,                 1.1528,             6.3689e-05,             6.3689e-05,             6.3689e-05
